Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: cat
Parent(s): cat_015.dat cat_013.dat cat_017.dat cat_011.dat
  5.218380e-01   5.255930e+01   2.538150e-01
  5.245720e-01   5.139750e+01   2.491000e-01
  5.273060e-01   5.065540e+01   2.450910e-01
  5.300400e-01   4.995400e+01   2.443240e-01
  5.327740e-01   4.915230e+01   2.391140e-01
  5.355080e-01   4.909240e+01   2.400140e-01
  5.382420e-01   4.822980e+01   2.376490e-01
  5.409760e-01   4.767530e+01   2.342900e-01
  5.437100e-01   4.660550e+01   2.313690e-01
  5.464450e-01   4.578100e+01   2.273880e-01
  5.491790e-01   4.541340e+01   2.260530e-01
  5.519130e-01   4.399410e+01   2.203430e-01
  5.546470e-01   4.350630e+01   2.194310e-01
  5.573810e-01   4.289860e+01   2.175830e-01
  5.601150e-01   4.258200e+01   2.136080e-01
  5.628490e-01   4.176150e+01   2.114550e-01
  5.655830e-01   4.115540e+01   2.096550e-01
  5.683170e-01   4.075320e+01   2.088640e-01
  5.710510e-01   4.015070e+01   2.051240e-01
  5.737850e-01   3.926710e+01   2.021500e-01
  5.765190e-01   3.897980e+01   2.010970e-01
  5.792530e-01   3.806100e+01   1.986910e-01
  5.819870e-01   3.771130e+01   1.958300e-01
  5.847210e-01   3.723580e+01   1.950310e-01
  5.874550e-01   3.676050e+01   1.933090e-01
  5.901890e-01   3.603480e+01   1.898090e-01
  5.929230e-01   3.505470e+01   1.878470e-01
  5.956570e-01   3.479670e+01   1.847260e-01
  5.983910e-01   3.425720e+01   1.832580e-01
  6.011250e-01   3.379750e+01   1.823980e-01
  6.038590e-01   3.324940e+01   1.797400e-01
  6.065930e-01   3.268200e+01   1.768160e-01
  6.093280e-01   3.197030e+01   1.754300e-01
  6.120620e-01   3.149540e+01   1.728030e-01
  6.147960e-01   3.107390e+01   1.719390e-01
  6.175300e-01   3.065800e+01   1.689590e-01
  6.202640e-01   2.996230e+01   1.679650e-01
  6.229980e-01   2.954930e+01   1.657470e-01
  6.257320e-01   2.901530e+01   1.635880e-01
  6.284660e-01   2.848710e+01   1.606590e-01
  6.312000e-01   2.808850e+01   1.587470e-01
  6.339340e-01   2.738050e+01   1.584370e-01
  6.366680e-01   2.699810e+01   1.557740e-01
  6.394020e-01   2.647800e+01   1.535350e-01
  6.421360e-01   2.597190e+01   1.513720e-01
  6.448700e-01   2.573990e+01   1.504290e-01
  6.476040e-01   2.500080e+01   1.490450e-01
  6.503380e-01   2.470650e+01   1.469410e-01
  6.530720e-01   2.412700e+01   1.436390e-01
  6.558060e-01   2.385460e+01   1.445210e-01
  6.585400e-01   2.323450e+01   1.403500e-01
  6.612740e-01   2.306200e+01   1.418700e-01
  6.640080e-01   2.246170e+01   1.368930e-01
  6.667420e-01   2.217180e+01   1.364530e-01
  6.694760e-01   2.165580e+01   1.352000e-01
  6.722110e-01   2.109990e+01   1.326880e-01
  6.749450e-01   2.094730e+01   1.331420e-01
  6.776790e-01   2.046710e+01   1.292440e-01
  6.804130e-01   2.010650e+01   1.294680e-01
  6.831470e-01   1.959230e+01   1.278650e-01
  6.858810e-01   1.937090e+01   1.257080e-01
  6.886150e-01   1.892870e+01   1.253330e-01
  6.913490e-01   1.846470e+01   1.225680e-01
  6.940830e-01   1.821150e+01   1.217560e-01
  6.968170e-01   1.776610e+01   1.197920e-01
  6.995510e-01   1.754590e+01   1.178050e-01
  7.022850e-01   1.730720e+01   1.182980e-01
  7.050190e-01   1.696430e+01   1.169340e-01
  7.077530e-01   1.649510e+01   1.155900e-01
  7.104870e-01   1.606610e+01   1.123980e-01
  7.132210e-01   1.583320e+01   1.122450e-01
  7.159550e-01   1.542420e+01   1.112820e-01
  7.186890e-01   1.518590e+01   1.104510e-01
  7.214230e-01   1.481870e+01   1.086480e-01
  7.241570e-01   1.450330e+01   1.069890e-01
  7.268910e-01   1.432370e+01   1.059970e-01
  7.296250e-01   1.386680e+01   1.046180e-01
  7.323590e-01   1.368400e+01   1.038190e-01
  7.350940e-01   1.342200e+01   1.028380e-01
  7.378280e-01   1.303680e+01   1.000790e-01
  7.405620e-01   1.296330e+01   1.009900e-01
  7.432960e-01   1.262060e+01   9.970460e-02
  7.460300e-01   1.229200e+01   9.744780e-02
  7.487640e-01   1.202240e+01   9.650890e-02
  7.514980e-01   1.180470e+01   9.645950e-02
  7.542320e-01   1.153910e+01   9.519320e-02
  7.569660e-01   1.125510e+01   9.352350e-02
  7.597000e-01   1.106070e+01   9.316780e-02
  7.624340e-01   1.070710e+01   9.207480e-02
  7.651680e-01   1.063010e+01   9.199710e-02
  7.679020e-01   1.027810e+01   9.049660e-02
  7.706360e-01   1.026760e+01   8.993850e-02
  7.733700e-01   9.926650e+00   8.945040e-02
  7.761040e-01   9.644990e+00   8.835700e-02
  7.788380e-01   9.538030e+00   8.821370e-02
  7.815720e-01   9.211180e+00   8.675100e-02
  7.843060e-01   9.072660e+00   8.687350e-02
  7.870400e-01   8.925560e+00   8.726100e-02
  7.897740e-01   8.720120e+00   8.556360e-02
  7.925080e-01   8.610620e+00   8.535980e-02
  7.952420e-01   8.383670e+00   8.445800e-02
  7.979770e-01   8.092670e+00   8.396290e-02
  8.007110e-01   7.981740e+00   8.507730e-02
  8.034450e-01   7.837090e+00   8.255240e-02
  8.061790e-01   7.585590e+00   8.305360e-02
  8.089130e-01   7.497260e+00   8.211790e-02
  8.116470e-01   7.310970e+00   8.179410e-02
  8.143810e-01   7.144680e+00   8.071360e-02
  8.171150e-01   6.978280e+00   7.994830e-02
  8.198490e-01   6.869960e+00   8.068590e-02
  8.225830e-01   6.642340e+00   7.947610e-02
  8.253170e-01   6.429250e+00   7.907460e-02
  8.280510e-01   6.455010e+00   7.856500e-02
  8.307850e-01   6.217140e+00   7.708150e-02
  8.335190e-01   6.054880e+00   7.803490e-02
  8.362530e-01   5.760350e+00   7.628330e-02
  8.389870e-01   5.753770e+00   7.624900e-02
  8.417210e-01   5.740520e+00   7.703220e-02
  8.444550e-01   5.561720e+00   7.511930e-02
  8.471890e-01   5.475460e+00   7.578660e-02
  8.499230e-01   5.296720e+00   7.379460e-02
  8.526570e-01   5.193460e+00   7.471960e-02
  8.553910e-01   5.056310e+00   7.420390e-02
  8.581250e-01   4.938430e+00   7.424700e-02
  8.608600e-01   4.866590e+00   7.350890e-02
  8.635940e-01   4.713530e+00   7.206810e-02
  8.663280e-01   4.806490e+00   7.300670e-02
  8.690620e-01   4.540790e+00   7.220350e-02
  8.717960e-01   4.454490e+00   7.212140e-02
  8.745300e-01   4.310650e+00   7.141640e-02
  8.772640e-01   4.253230e+00   7.110410e-02
  8.799980e-01   4.139220e+00   7.138430e-02
  8.827320e-01   4.140040e+00   7.124900e-02
  8.854660e-01   3.992580e+00   6.992620e-02
  8.882000e-01   3.891020e+00   6.979580e-02
  8.909340e-01   3.913470e+00   6.942970e-02
  8.936680e-01   3.816650e+00   7.004790e-02
  8.964020e-01   3.762580e+00   6.937320e-02
  8.991360e-01   3.651320e+00   6.859090e-02
