Sample:   c= 8.5500 mg/ml  Code: 
Parent(s): C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa_secwaxs_20170423c.dat C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa0_hepesbsa0_0018.dat
 1.433250e+000  9.424442e-001  2.187685e-002
 1.443800e+000  9.146791e-001  2.204269e-002
 1.454350e+000  9.049338e-001  2.191305e-002
 1.464900e+000  8.801701e-001  2.227563e-002
 1.475460e+000  9.003274e-001  2.215315e-002
 1.486010e+000  8.536682e-001  2.219347e-002
 1.496560e+000  8.592916e-001  2.252119e-002
 1.507110e+000  8.541265e-001  2.215596e-002
 1.517660e+000  7.852150e-001  2.241088e-002
 1.528210e+000  8.105645e-001  2.203326e-002
 1.537190e+000  8.231155e-001  5.443947e-003
 1.538770e+000  8.113875e-001  2.246049e-002
 1.546920e+000  8.245525e-001  5.648386e-003
 1.549320e+000  7.934846e-001  2.239875e-002
 1.556650e+000  8.061433e-001  5.723870e-003
 1.559870e+000  7.505450e-001  2.211744e-002
 1.566380e+000  7.989873e-001  5.746542e-003
 1.570420e+000  7.653768e-001  2.221530e-002
 1.576110e+000  7.714881e-001  5.807195e-003
 1.580970e+000  7.761677e-001  2.166212e-002
 1.585840e+000  7.525012e-001  5.785316e-003
 1.591520e+000  7.858625e-001  2.189485e-002
 1.595570e+000  7.467217e-001  5.733301e-003
 1.602070e+000  7.022059e-001  2.141539e-002
 1.605300e+000  7.346103e-001  5.683606e-003
 1.612630e+000  7.240083e-001  2.139055e-002
 1.615030e+000  7.471616e-001  5.615972e-003
 1.623180e+000  6.779862e-001  2.151183e-002
 1.624760e+000  7.211493e-001  5.704721e-003
 1.633730e+000  6.926877e-001  2.108317e-002
 1.634500e+000  7.081335e-001  5.669809e-003
 1.644230e+000  6.780365e-001  5.607736e-003
 1.644280e+000  6.589175e-001  2.126217e-002
 1.653960e+000  6.703400e-001  5.632222e-003
 1.654830e+000  6.673620e-001  2.097234e-002
 1.663690e+000  6.773941e-001  5.691488e-003
 1.665380e+000  6.833665e-001  2.092853e-002
 1.673420e+000  6.557344e-001  5.692743e-003
 1.675940e+000  6.530013e-001  2.089891e-002
 1.683150e+000  6.472156e-001  5.604691e-003
 1.686490e+000  6.380880e-001  2.051938e-002
 1.692880e+000  6.377038e-001  5.613386e-003
 1.697040e+000  6.627605e-001  2.087645e-002
 1.702610e+000  6.220680e-001  5.651631e-003
 1.707590e+000  6.259901e-001  2.026075e-002
 1.712340e+000  6.173757e-001  5.645754e-003
 1.718140e+000  5.695165e-001  2.051520e-002
 1.722080e+000  6.012539e-001  5.626822e-003
 1.728690e+000  6.259034e-001  2.070521e-002
 1.731810e+000  5.929865e-001  5.564171e-003
 1.739240e+000  5.723042e-001  2.012703e-002
 1.741540e+000  5.723705e-001  5.614175e-003
 1.749800e+000  5.553133e-001  2.034692e-002
 1.751270e+000  5.730161e-001  5.417099e-003
 1.760350e+000  5.760353e-001  2.000225e-002
 1.761000e+000  5.622606e-001  5.309709e-003
 1.770730e+000  5.599536e-001  5.221376e-003
 1.770900e+000  5.394058e-001  2.026402e-002
 1.780460e+000  5.498720e-001  5.122330e-003
 1.781450e+000  5.388500e-001  1.996924e-002
 1.790190e+000  5.363476e-001  5.106059e-003
 1.792000e+000  5.272561e-001  1.985539e-002
 1.799920e+000  5.286792e-001  5.030077e-003
 1.802550e+000  5.149245e-001  2.004188e-002
 1.809660e+000  5.206619e-001  5.016921e-003
 1.813110e+000  5.542440e-001  1.976969e-002
 1.819390e+000  5.165468e-001  4.924344e-003
 1.823660e+000  5.051349e-001  1.987456e-002
 1.829120e+000  5.046664e-001  4.904501e-003
 1.834210e+000  5.175074e-001  1.981841e-002
 1.838850e+000  5.001893e-001  4.924204e-003
 1.844760e+000  5.136717e-001  2.022709e-002
 1.848580e+000  4.853987e-001  4.829010e-003
 1.855310e+000  4.673953e-001  2.077641e-002
 1.858310e+000  4.754177e-001  4.823252e-003
 1.865860e+000  5.350018e-001  2.041286e-002
 1.868040e+000  4.722717e-001  4.740288e-003
 1.876410e+000  4.829536e-001  2.100792e-002
 1.877770e+000  4.569483e-001  4.734152e-003
 1.886970e+000  4.424062e-001  2.092705e-002
 1.887500e+000  4.619167e-001  4.741196e-003
 1.897230e+000  4.527001e-001  4.639627e-003
 1.897520e+000  4.732571e-001  2.137802e-002
 1.906970e+000  4.402067e-001  4.671259e-003
 1.908070e+000  4.379954e-001  2.139672e-002
 1.916700e+000  4.388010e-001  4.629622e-003
 1.918620e+000  4.297392e-001  2.094270e-002
