Sample description: Apoferritin_1_ball extrapolated to I(0)
Sample: Apoferritin_1_b  c= 1 mg/ml  Code: extrapolated
  4.901960e-01   2.534813e-02   4.036615e-05
  4.941180e-01   2.537737e-02   3.850421e-05
  4.980390e-01   2.537024e-02   4.034277e-05
  5.019610e-01   2.548446e-02   4.034323e-05
  5.058820e-01   2.544232e-02   4.028045e-05
  5.098040e-01   2.554530e-02   3.854006e-05
  5.137250e-01   2.540397e-02   4.036160e-05
  5.176470e-01   2.542010e-02   4.216109e-05
  5.215690e-01   2.547285e-02   4.152464e-05
  5.254900e-01   2.548684e-02   4.255306e-05
  5.294120e-01   2.544858e-02   4.183055e-05
  5.333330e-01   2.552068e-02   4.149792e-05
  5.372550e-01   2.561890e-02   3.932866e-05
  5.411760e-01   2.557860e-02   4.102290e-05
  5.450980e-01   2.559719e-02   4.114481e-05
  5.490200e-01   2.559714e-02   4.123590e-05
  5.529410e-01   2.567288e-02   3.942248e-05
  5.568630e-01   2.574301e-02   4.146514e-05
  5.607840e-01   2.571803e-02   4.148954e-05
  5.647060e-01   2.578206e-02   3.954997e-05
  5.686270e-01   2.578874e-02   4.144195e-05
  5.725490e-01   2.571371e-02   4.129437e-05
  5.764710e-01   2.589077e-02   4.131087e-05
  5.803920e-01   2.583348e-02   3.945516e-05
  5.843140e-01   2.594544e-02   4.154954e-05
  5.882350e-01   2.595270e-02   4.160161e-05
  5.921570e-01   2.598000e-02   3.974329e-05
  5.960780e-01   2.603560e-02   4.253034e-05
  6.000000e-01   2.599982e-02   4.491441e-05
  6.039220e-01   2.612237e-02   4.608041e-05
  6.078430e-01   2.610950e-02   4.234075e-05
  6.117650e-01   2.615411e-02   4.388969e-05
  6.156860e-01   2.618620e-02   4.362817e-05
  6.196080e-01   2.628928e-02   4.134725e-05
  6.235290e-01   2.630791e-02   4.319041e-05
  6.274510e-01   2.630585e-02   4.313707e-05
  6.313730e-01   2.631727e-02   4.309578e-05
  6.352940e-01   2.642168e-02   4.115199e-05
  6.392160e-01   2.641863e-02   4.313981e-05
  6.431370e-01   2.652881e-02   4.321765e-05
  6.470590e-01   2.650063e-02   4.315398e-05
  6.509800e-01   2.660522e-02   4.114612e-05
  6.549020e-01   2.660286e-02   4.326033e-05
  6.588240e-01   2.663135e-02   4.330706e-05
  6.627450e-01   2.666894e-02   4.133102e-05
  6.666670e-01   2.679884e-02   4.333882e-05
  6.705880e-01   2.687267e-02   4.326842e-05
  6.745100e-01   2.692864e-02   4.330984e-05
  6.784310e-01   2.701991e-02   4.291324e-05
  6.823530e-01   2.702858e-02   4.738391e-05
  6.862750e-01   2.713830e-02   4.742356e-05
  6.901960e-01   2.715392e-02   4.371099e-05
  6.941180e-01   2.728959e-02   4.540844e-05
  6.980390e-01   2.723036e-02   4.521408e-05
  7.019610e-01   2.732336e-02   4.516475e-05
  7.058820e-01   2.746706e-02   4.302363e-05
  7.098040e-01   2.749782e-02   4.509963e-05
  7.137250e-01   2.753095e-02   4.502158e-05
  7.176470e-01   2.763229e-02   4.296585e-05
  7.215690e-01   2.769109e-02   4.490397e-05
  7.254900e-01   2.773938e-02   4.466219e-05
  7.294120e-01   2.785026e-02   4.478662e-05
  7.333330e-01   2.782323e-02   4.271086e-05
  7.372550e-01   2.799385e-02   4.494543e-05
  7.411760e-01   2.800666e-02   4.479874e-05
  7.450980e-01   2.817631e-02   4.475779e-05
  7.490200e-01   2.815145e-02   4.249316e-05
  7.529410e-01   2.824549e-02   4.463471e-05
  7.568630e-01   2.831170e-02   4.508054e-05
  7.607840e-01   2.845177e-02   4.608403e-05
  7.647060e-01   2.839463e-02   5.048750e-05
  7.686270e-01   2.858088e-02   4.867159e-05
  7.725490e-01   2.872318e-02   4.777596e-05
  7.764710e-01   2.867023e-02   4.510921e-05
  7.803920e-01   2.874621e-02   4.710427e-05
  7.843140e-01   2.876810e-02   4.673809e-05
  7.882350e-01   2.890712e-02   4.445884e-05
  7.921570e-01   2.904304e-02   4.665851e-05
  7.960780e-01   2.906938e-02   4.658451e-05
  8.000000e-01   2.917621e-02   4.648597e-05
  8.039220e-01   2.921371e-02   4.429235e-05
  8.078430e-01   2.925171e-02   4.642824e-05
  8.117650e-01   2.933029e-02   4.627773e-05
  8.156860e-01   2.946684e-02   4.411399e-05
  8.196080e-01   2.957427e-02   4.633985e-05
  8.235290e-01   2.964475e-02   4.621823e-05
  8.274510e-01   2.962915e-02   4.623938e-05
  8.313730e-01   2.985697e-02   4.434816e-05
  8.352940e-01   2.989048e-02   4.650629e-05
  8.392160e-01   2.998453e-02   4.805044e-05
  8.431370e-01   3.006858e-02   4.909791e-05
  8.470590e-01   3.016997e-02   5.224785e-05
  8.509800e-01   3.026293e-02   4.981810e-05
  8.549020e-01   3.036924e-02   4.915376e-05
  8.588240e-01   3.047388e-02   4.667436e-05
  8.627450e-01   3.065464e-02   4.884336e-05
  8.666670e-01   3.060550e-02   4.861271e-05
  8.705880e-01   3.085007e-02   4.864250e-05
  8.745100e-01   3.088859e-02   4.626465e-05
  8.784310e-01   3.099341e-02   4.817950e-05
  8.823530e-01   3.107183e-02   4.800758e-05
  8.862750e-01   3.126134e-02   4.594767e-05
  8.901960e-01   3.129494e-02   4.814928e-05
  8.941180e-01   3.147758e-02   4.826251e-05
  8.980390e-01   3.151750e-02   4.812247e-05
  9.019610e-01   3.163567e-02   4.594630e-05
  9.058820e-01   3.165580e-02   4.826650e-05
  9.098040e-01   3.189918e-02   4.839713e-05
  9.137250e-01   3.194270e-02   4.595705e-05
  9.176470e-01   3.199452e-02   4.807806e-05
  9.215690e-01   3.207156e-02   5.148549e-05
  9.254900e-01   3.225401e-02   5.483179e-05
  9.294120e-01   3.221556e-02   5.488718e-05
  9.333330e-01   3.236471e-02   6.031611e-05
  9.372550e-01   3.243022e-02   6.271453e-05
  9.411760e-01   3.260046e-02   6.184992e-05
  9.450980e-01   3.271757e-02   6.773239e-05
  9.490200e-01   3.269993e-02   7.065860e-05
  9.529410e-01   3.277493e-02   7.354603e-05
  9.568630e-01   3.288335e-02   7.363650e-05
  9.607840e-01   3.306717e-02   8.178537e-05
  9.647060e-01   3.315394e-02   8.777226e-05
  9.686270e-01   3.331143e-02   9.512444e-05
  9.725490e-01   3.335910e-02   9.609690e-05
  9.764710e-01   3.359148e-02   1.112782e-04
  9.803920e-01   3.348494e-02   1.249567e-04
  9.843140e-01   3.364018e-02   1.341223e-04
  9.882350e-01   3.366613e-02   1.544646e-04
  9.921570e-01   3.386579e-02   1.734067e-04
  9.960780e-01   3.389980e-02   1.991570e-04
  1.000000e+00   3.406834e-02   2.324135e-04

