Sample description: [1] Pconcetr
Sample: [1] Pconcetr  c= 4.32 mg/ml  Code: Pconcetr
Parent(s): SASDF73.dat
range-to: 125
AutoRg: Quality: 95.5%
Code: Pconcetr
Concentration: 4.32
Measurement Temperature (degrees C): 9.92
Storage Temperature (degrees C): 10.0
range-from: 2
range-to: 1043
parent: SASDF73.dat
creator: datop
creator-version: v0.4 (r12106M)
datop-operation: SASDF73.dat DIV 5.34
