Sample description: water
Sample: water  c= 0 mg/ml  Code: water
Parent(s): cell-water.dat
Bragg Angle [mrad]: 10.9539
Buffer: water
Code: water
Concentration [mg/ml]: 0.00
Contrast [10^10cm^-2]: 2.953
Description: water
Detector Distance [m]: 3.0
Detector Name: pilatus6m
Diode 1: .0000
Diode 2: .0000
Exposure Delay [s]: 0.000
Exposure period [s]: 0.100
Exposure time [s]: 0.095
PETRA Current: 100.7339
Partial Specific Volume [cm^3/g]: 0.732
QBPM 1: .0000
Run Number: 51.5000
SC Current Temperature: 10.1500
SC Target Temperature: 10.0
SEU Current Temperature: 8.2125
SEU Horizontal Position: 1.800
SEU Target Temperature: 8.0
SEU Vertical Position: 3.240
Transmitted Beam (mean): .7445
Wavelength [nm]: 0.124402
angular-axis-file: etc/radial-averaging/saxs-2/saxis_saxs2_20181018.dat
angular-unit: nanometer
beam-center-x: 1151.3000
beam-center-y: 2407.9000
beamstop-mask-file: etc/radial-averaging/saxs-2/mask_saxs2_20181018.msk
channel-first: 7
channel-last: 2636
databsolute-cell: ../BatchMode/monitoring/data/cap_0019_00001.dat
databsolute-factor: 4.81916E-05
databsolute-temperature: 2.01000E+01
databsolute-water: ../BatchMode/monitoring/data/h2o_0019_00001.dat
detector-response-file: none
flatfield-file: none
unit-time: 100.0000
working-directory: /dataInt/p12/p3l-vestergaard/2018-11-24/BatchMode002
Timestamp (begin): 2018-11-24 19:35:38.114
Timestamp (end): 2018-11-24 19:55:18.683
parent: cell-water.dat
creator: datregrid
creator-version: 12106M (r12106M)
